Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
0,MyKiwiHouse Passive - Architectural Plans to build,"Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.030815,168.664147,Town Centre,3.0,2.0,0.0,107.2,0.0,14375.0
1,Central Queenstown- 1/4 share for sale,"Qtr 1/T/H 6A-18 Turner Street, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.028675,168.662897,Qtr 1/T/H 6A-18 Turner Street,1.0,1.0,1.0,45.2,0.0,125000.0
2,Immediate Sale Required,"308/32 Red Oaks Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.026279,168.746827,308/32 Red Oaks Drive,1.0,1.0,0.0,22.2,0.0,249000.0
3,Hands Off Investment - Guaranteed Returns,"10/18 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.028198,168.750311,10/18 Mountain Ash Drive,1.0,1.0,0.0,22.2,0.0,249000.0
4,Frankton Investment Opportunity,"118/32 Red Oaks Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.026279,168.746827,118/32 Red Oaks Drive,1.0,1.0,0.0,27.2,0.0,280000.0
5,Priced to sell - Superb guaranteed monthly returns,"214/32 Red Oaks Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.026279,168.746827,214/32 Red Oaks Drive,1.0,1.0,1.0,27.2,0.0,280000.0
6,"SPECIAL ONE ONLY at $299,000","87-89 OBAN STREET, GLENORCHY, Glenorchy, Queenstown-Lakes",Glenorchy,Queenstown-Lakes,-44.851361,168.388593,87-89 OBAN STREET,0.0,1.0,1.0,0.0,0.0,299000.0
7,"Low Investment, Solid Return in Queenstown","402/24 Frankton Road, Queenstown East, Queenstown-Lakes",Queenstown East,Queenstown-Lakes,-45.034027,168.666189,402/24 Frankton Road,1.0,1.0,0.0,22.2,0.0,none
8,Central city studio unit,"112/18 Frankton Road, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.034041,168.665595,112/18 Frankton Road,1.0,1.0,0.0,27.2,0.0,319000.0
9,Better than money in the bank,"314/21 Stanley Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.032528,168.665472,314/21 Stanley Street,1.0,1.0,1.0,30.2,0.0,320000.0
10,Studio Apartment in Queenstown's Newest Hotel,"212/18 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.028198,168.750311,212/18 Mountain Ash Drive,1.0,1.0,0.0,0.0,0.0,340000.0
11,A winning investment,"108/18 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.028198,168.750311,108/18 Mountain Ash Drive,1.0,1.0,0.0,0.0,0.0,none
12,View our homes in 3D or walk thru them using AR,"Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.076051,168.753168,Jacks Point,3.0,2.0,0.0,111.2,0.0,360000.0
13,Ready to invest in Queenstown?,"212/21 Stanley Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.032528,168.665472,212/21 Stanley Street,1.0,1.0,0.0,60.2,0.0,450000.0
14,Free Queenstown holidays!,"215/21 Stanley Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.032528,168.665472,215/21 Stanley Street,1.0,1.0,0.0,60.2,0.0,499000.0
